Наименование,"Выход, гр",Себест.,Цена розн.,"Продажи 
с 01.07.25 по 31.12.25"
,,,,Тургенева,Самокиша ,Луговая,Всего кол-во продаж
Блины с курицей и грибами,200,170 ₽,285 ₽,599,361,336,1296
Блины с ветчиной и сыром,200,180 ₽,285 ₽,490,333,319,1142
Блины с творогом,200,170 ₽,285 ₽,375,118,217,710
Сырники,150,180 ₽,280 ₽,415,131,182,728
Чиабатта с курицей,250,160 ₽,270 ₽,828,736,749,2313
Чиабатта с говядиной,240,180 ₽,270 ₽
Гречка умами,,200 ₽,320 ₽,629,549,429,1607
Рис умами,,200 ₽,320 ₽
Соба умами,,200 ₽,320 ₽
Сосиска в тесте,125,"60,00 ₽","120,00 ₽",1189,191,775,2155
Наименование,"Выход, гр",Себест.,Цена розн.,"Продажи 
с 17.11.25 по 17.01.26"
Маковый пирог,от 190 до 205,"119,30 ₽",240 ₽,175,—,133,308
Киш с курицей и грибами,200,"125,00 ₽","200,00 ₽",343,—,115,458
Булочка с корицей,90,"50,00 ₽","75,00 ₽",174,—,76,250
Булочка с Абрикосом,100,"50,00 ₽","90,00 ₽",125,—,75,200
Булочка с Вишней,105,"50,00 ₽","90,00 ₽",,—

Круассан с ветчиной и сыром,,—,—,—,—,—,—
Круассан с копченной курицей или бужениной,,—,—,—,—,—,—
"Круассан с тунцом, креветкой, семгой (заведомо слабая позиция)",,—,—,—,—,—,—
Курица сувид,,—,—,—,—,—,—
Индейка сувид,,—,—,—,—,—,—
