Калькуляция,,,,,,Калькуляция,,,,,,Калькуляция,,,,,,Калькуляция
Онигурадзу Сёмга,,,,,,Онигурадзу Креветка,,,,,,Онигурадзу Краб,,,,,,Онигурадзу Шеф 
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Рис готовый,кг,"57,79","0,140","8,09",,Рис готовый,кг,"57,79","0,140","8,09",,Рис готовый,кг,"57,79","0,140","8,09",,Рис готовый,кг,"57,79","0,140","8,09"
Семга слабосоленая,кг,"3400,00","0,030","102,00",,Креветка,кг,"2400,00","0,030","72,00",,Нори,шт,"10,36","1,000","10,36",,Нори,шт,"10,36","1,000","10,36"
Майонез,кг,"169,90","0,040","6,80",,Соус спайси,кг,"183,68","0,040","7,35",,Салат айсберг,кг,"150,00","0,020","3,00",,Соус шеф,кг,"575,00","0,040","23,00"
Творожный сыр,кг,"557,00","0,020","11,14",,Творожный сыр,кг,"557,00","0,020","11,14",,Огурец свежий,кг,"120,97","0,020","2,42",,Семга слабосоленая,кг,"3400,00","0,020","68,00"
Огурец свежий,кг,"120,97","0,020","2,42",,Огурец свежий,кг,"120,97","0,020","2,42",,Творожный сыр,кг,"557,00","0,020","11,14",,Креветка,шт,"2400,00","0,015","36,00"
Салат айсберг,кг,"150,00","0,020","3,00",,Салат айсберг,кг,"150,00","0,020","3,00",,Крабовые палочки,кг,"530,00","0,035","18,55",,Творожный сыр,кг,"557,00","0,020","11,14"
Нори,шт,"10,36","1,000","10,36",,Нори,шт,"10,36","1,000","10,36",,Соус икра масаго,кг,"602,95","0,040","24,12",,Огурец свежий,кг,"120,97","0,020","2,42"
Соевый соус,кг,"49,20","0,015","0,74",,Соус терияки,кг,"172,00","0,010","1,72",,Соевый соус,кг,"49,20","0,015","0,74",,Салат айсберг,кг,"150,00","0,020","3,00"
Соус терияки,кг,"172,00","0,010","1,72",,Масло растительное,л,"130,00","0,010","1,30",,Кунжут,кг,"350,00","0,005","1,75",,Соус терияки,кг,"172,00","0,010","1,72"
Кунжут,кг,"350,00","0,001","0,35",,Соевый соус,кг,"49,20","0,015","0,74",,Соус терияки,кг,"172,00","0,010","1,72",,Соевый соус,кг,"49,20","0,015","0,74"
Итого:,,,,"146,61",,Кунжут,кг,"350,00","0,001","0,35",,Итого:,,,,"81,89",,Кунжут,кг,"350,00","0,001","0,35"
,,,,,,Итого:,,,,"118,47",,,,,,,,Итого:,,,,"164,82"
Выход онигурадзу,"0,296",,,,,,,,,,,Выход ,"0,285"
Стоимость работы,"50,00",,,,,Выход ,"0,306",,,,,Стоимость работы,"50,00",,,,,Выход ,"0,301"
Коммунальные,"10,00",,,,,Стоимость работы,"50,00",,,,,Коммунальные,"10,00",,,,,Стоимость работы,"50,00"
Упаковка,"13,00",,,,,Коммунальные,"10,00",,,,,Упаковка,"20,00",,,,,Коммунальные,"10,00"
Соусничка,"2,00",,,,,Упаковка,"13,00",,,,,Соусничка,"2,00",,,,,Упаковка,"20,00"
,,,,,,Соусничка,"2,00"
ИТОГО,"221,61",,,,,,,,,,,ИТОГО,"163,89",,,,,ИТОГО,"244,82"
,,,,,,ИТОГО,"193,47"
