Помощник Бариста (официант),Обязан знать,Обязан уметь
,Составы еды / десерты,Работать с кассой: принятие заказа и умение сориентировать гостей по позициям
,Составы напитков ,Выполнять обязанности
,ДИ помощника,Выписывание накладных,???,"я считаю что это следующий грейд, не помощник"
,Как пробивать заказы по кассе,"Поддержание чистоты в течение дня, мытье посуды "
,Как выписывать накладные,Сборка заказа: с собой / здесь ,"какая посуда к каким позициям
какие пакеты к каким позициям"
,Как печатать наклейки
,Как принимать заказы от поставщиков и проверять по накладным
,"Витрина: выставление еды по ротации, подпись десертов на Самокиша и Луговая"

Младший бариста,Составы еды / десерты,Работать с кассой: принятие заказа и умение сориентировать гостей по позициям
,Составы напитков ,Выполнять обязанности
,ДИ помощника,Выписывание накладных
,Как пробивать заказы по кассе,"Поддержание чистоты в течение дня, мытье посуды "
,Как выписывать накладные,Сборка заказа: с собой / здесь 
,Как печатать наклейки,Приготовление напитков согласно калькуляциям 
,Как принимать заказы от поставщиков и проверять по накладным
,Калькуляции напитков
,"Знание маркета: должен уметь подсказать гостю по наличию зерна, чая, шоколада, сориентировать по вкусу"


Бариста,Знать как формировать заявки,Формировать заявки 
,Умение корректно давать задания по смене помощникам,Руководить по смене помощниками
,Как писать отчет руководителю 
