Наименование,Общее кол-во,Луговая,Тургенева,Самокиша
Дрипы,118,24,74,20
Дрип Боливия Каранави 10 шт,2,1,1
Дрип Бразилия Суль-де-Минас 10 шт,13,3,9,1
Дрип Бэрри (30 шт),6,,4,2
Дрип Бэрри 10 шт,2,1,1
Дрип Гватемала Адольфо Эрнандес / 10 шт,5,,4,1
Дрип Гватемала Ла Лагуна / 10 шт,6,,5,1
Дрип Гватемала Сантьяго 10 шт,1,1
Дрип Индонезия Суматра Гайо / 10 шт,10,,9,1
"Дрип Кения Гитуара, 10 шт",5,,5
Дрип Кения Маримира / 10 шт,4,,4
Дрип Кения маунт (10 шт),2,1,1
Дрип Кения Маунт 30шт,2,,1,1
Дрип Колумбия Декаф   50 шт,2,1,1
Дрип Колумбия Декаф (30 шт),2,1,,1
Дрип Колумбия Декаф 10 шт,7,2,2,3
Дрип Колумбия Персик Хайро Арчила,4,3,1
Дрип Колумбия Уила 30 шт,1,,1
Дрип Колумбия Уила 10 шт,7,3,3,1
Дрип Коста-Рика Вара Бланка / 10 шт,7,,6,1
Дрип Коста-Рика Эстебан Замора / 10 шт,8,,8
Дрип микс (Подарочный набор),4,1,,3
Дрип Руанда Киву (30 шт),1,,,1
Дрип Руанда Киву 10 шт,3,2,1
Дрип Эфиопия Мукера 120 часов / 10 шт,2,1,1
"Дрип Эфиопия Мукера 200 часов, / 10 шт",2,1,,1
Дрип Эфиопия Сидамо    50 шт,1,1
Дрип Эфиопия Сидамо (10 шт),2,,2
Дрип Эфиопия Сидамо 30шт,3,,1,2
"Дрип-пакеты Коста-Рика 2025, 12 шт",4,1,3
Зерно 1 кг,236,35,134,67
Бразилия Серрадо 1 кг,36,4,22,10
Брауни 1 кг,12,2,7,3
Бэрри 1кг,18,,13,5
Гватемала Фуэго 1 кг,11,4,4,3
Кения Найроби 1 кг,6,2,,4
Колумбия Богота 1 кг,27,1,16,10
Колумбия Декаф 1кг,2,,,2
Коста Рика Сан Хосе 1 кг,1,1
Кэнди 1 кг,19,5,11,3
Натти 1кг,23,2,16,5
Руанда Кигали 1кг,2,2
Флорал 1кг,-1,,-1
Фрутти 1кг,4,,2,2
Хани 1 кг,13,,8,5
Эфиопия Гуджи  1 кг,11,6,5
Эфиопия Иргачефф 1кг,40,4,26,10
Эфиопия Оромия 1кг,5,,3,2
Ягодный джем 1 кг,7,2,2,3
Зерно фильтр 250 гр,126,22,53,51
Бразилия Сульдеминас 250,27,4,16,7
Гватемала Сантьяго 250,15,2,6,7
Индонезия Суматра Гайо,6,3,,3
Кения Маунт 250 гр,16,3,4,9
Колумбия Уила 250,25,5,11,9
Компетишн Йемен Хайма Анаэробный 100 гр,4,,4
Компетишн Колумбия Гейша Хардинес Дель Эден 100 гр,1,,,1
Руанда Киву 250 гр,8,2,1,5
Эфиопия Мукера 120 часов 250 гр,1,,,1
Эфиопия сидамо 250,23,3,11,9
Зерно эспрессо 250 гр,402,88,186,128
Батч-брю Лоукаф 250 гр,24,,17,7
Бразилия серрадо 250,32,8,14,10
Брауни 250,26,4,16,6
Бэрри 250,8,2,2,4
Гватемала Фуэго 250,22,6,10,6
Кения Найроби 250 гр,19,5,8,6
Колумбия Богота 250,20,4,9,7
Колумбия Декаф 250,11,,4,7
Коста Рика сан Хосе 250,34,10,14,10
Кэнди 250,29,6,13,10
Натти 250,29,6,13,10
Руанда Кигали 250 гр,3,,3
Фанки 250,18,6,7,5
Флорал 250,32,10,12,10
Фрутти 250,6,,2,4
Хани 250 гр,19,3,10,6
Эфиопия гуджи 250,3,1,,2
Эфиопия Иргачефф 250,44,9,25,10
Эфиопия Оромия 250,23,8,7,8
Расходники / Закуп
Зерно Бункер Батч (Закуп),"0,486",,,"0,486"
Зерно бункер декаф (Закуп),"0,472","0,09","0,067","0,315"
Зерно Бункер Флорал (Закуп),"162,168","17,627","127,545","16,996"
Чай 100 гр Tasty,127,32,51,44
Матча 100 гр,12,3,7,2
"Чай ""Женьшень улун"" 100 гр",5,2,2,1
чай Ганпаудер 250 гр / НА БАР,9,2,5,2
Чай глинтвейн 100 гр,14,3,5,6
Чай Лимон с имбирем 100 гр,7,1,2,4
Чай липовый 100 гр.,13,3,5,5
Чай Можевельник 100 гр,4,3,,1
Чай Молихуа Жасмин 100 гр,12,5,5,2
Чай Молочный улун 100 гр,5,2,,3
Чай Рухуна 100 гр,17,3,5,9
Чай Рухуна 250 гр / НА БАР,4,,2,2
Чай Сенча 100 гр,17,2,10,5
Чай Тегуанинь 100 гр,5,2,2,1
Чай Чабрец 100 гр,1,1
Чай Черная смородина 100 гр,2,,1,1
